Item,Type_ID,Buy_Region,Sell_Region,Buy_Price,Sell_Price,Quantity,Net_Profit,Profit_Percent,AI_Score,AI_Decision,Available_Volume,Demand_Volume,Competition
Rifter,587,Rens,Jita,375000.0,600800.0,533,112356400.0,56.21333333333334,85,strongly_recommend,533,2779,40
Rifter,587,Hek,Jita,342000.0,600800.0,879,212454300.0,70.67251461988305,85,strongly_recommend,879,2779,40
Rifter,587,Amarr,Jita,177000.0,600800.0,535,224839100.0,237.43502824858757,80,strongly_recommend,535,2779,57
Chromium,16273,Hek,Dodixie,112.0,155.2,10000,398399.9999999999,35.57142857142856,70,recommend,1389516,27055260,21
Rifter,587,Amarr,Rens,177000.0,240100.0,94,5349070.0,32.14971751412429,70,recommend,535,94,34
Datacore - Caldari Starship Engineering,20413,Amarr,Jita,85000.0,95470.0,10000,87700000.0,10.31764705882353,70,recommend,13789,1028269,49
Rifter,587,Amarr,Hek,177000.0,224200.0,187,7336945.0,22.166666666666668,65,recommend,535,187,37
Merlin,621,Amarr,Jita,13870000.0,15980000.0,220,403172000.0,13.21268925739005,60,recommend,280,220,45
Scythe,596,Amarr,Hek,760.0,5000.0,25,105145.0,553.3947368421052,60,recommend,250,25,9
Osprey,598,Amarr,Jita,700000.0,801000.0,206,17922000.0,12.428571428571429,60,recommend,206,10100475,27
Osprey,598,Rens,Jita,695000.0,801000.0,199,15561800.0,11.251798561151078,60,recommend,199,10100475,22
Chromium,16273,Hek,Amarr,112.0,130.9,10000,138600.00000000006,12.375000000000005,55,recommend,1389516,13409455,10
Scandium,16272,Jita,Dodixie,111.0,141.3,10000,269700.0000000001,24.29729729729731,55,recommend,284768326,31331830,59
Chromium,16273,Rens,Dodixie,127.9,155.2,10000,247419.99999999983,19.344800625488652,50,consider,2727195,27055260,29
Scandium,16272,Jita,Rens,111.0,136.0,10000,205600.0,18.52252252252252,50,consider,284768326,484408,47
Stabber,648,Jita,Amarr,999900.0,1097000.0,139,10717178.0,7.71097109710971,50,consider,786,139,42
